,T
0,0.011904761904761904
1,0.011904761904761904
2,0.011904761904761904
3,0.011904761904761904
4,0.011904761904761904
5,0.011904761904761904
6,0.011904761904761904
7,0.011904761904761904
8,0.011904761904761904
9,0.011904761904761904
10,0.011904761904761904
11,0.011904761904761904
12,0.011904761904761904
13,0.011904761904761904
14,0.011904761904761904
15,0.011904761904761904
16,0.011904761904761904
17,0.011904761904761904
18,0.011904761904761904
19,0.011904761904761904
20,0.011904761904761904
21,0.011904761904761904
22,0.011904761904761904
23,0.011904761904761904
24,0.011904761904761904
25,0.011904761904761904
26,0.011904761904761904
27,0.011904761904761904
28,0.011904761904761904
29,0.011904761904761904
30,0.011904761904761904
31,0.011904761904761904
32,0.011904761904761904
33,0.011904761904761904
34,0.011904761904761904
35,0.011904761904761904
36,0.011904761904761904
37,0.011904761904761904
38,0.011904761904761904
39,0.011904761904761904
40,0.011904761904761904
41,0.011904761904761904
42,0.011904761904761904
43,0.011904761904761904
44,0.011904761904761904
45,0.011904761904761904
46,0.011904761904761904
47,0.011904761904761904
48,0.011904761904761904
49,0.011904761904761904
50,0.011904761904761904
51,0.011904761904761904
52,0.011904761904761904
53,0.011904761904761904
54,0.011904761904761904
55,0.011904761904761904
56,0.011904761904761904
57,0.011904761904761904
58,0.011904761904761904
59,0.011904761904761904
60,0.011904761904761904
61,0.011904761904761904
62,0.011904761904761904
63,0.011904761904761904
64,0.011904761904761904
65,0.011904761904761904
66,0.011904761904761904
67,0.011904761904761904
68,0.011904761904761904
69,0.011904761904761904
70,0.011904761904761904
71,0.011904761904761904
72,0.011904761904761904
73,0.011904761904761904
74,0.011904761904761904
75,0.011904761904761904
76,0.011904761904761904
77,0.011904761904761904
78,0.011904761904761904
79,0.011904761904761904
80,0.011904761904761904
81,0.011904761904761904
82,0.011904761904761904
83,0.011904761904761904
84,0.011904761904761904
85,0.011904761904761904
86,0.011904761904761904
87,0.011904761904761904
88,0.011904761904761904
89,0.011904761904761904
90,0.011904761904761904
91,0.011904761904761904
